0,0,4
0,1,52
0,3,4
0,5,4
0,8,88
0,9,88
0,11,4
1,0,33
1,1,79
1,2,33
1,3,51
1,4,73
1,5,73
1,6,33
1,7,65
1,8,68
1,9,79
1,10,79
1,11,68
2,1,57
2,2,89
2,10,30
2,11,65
3,2,11
3,3,42
3,10,11
4,1,66
4,2,72
4,8,1
4,9,72
5,1,88
5,2,4
5,3,84
5,4,88
6,0,86
6,1,82
6,2,82
6,3,33
6,4,58
6,5,61
6,6,82
6,7,51
6,8,51
6,9,58
6,11,39
7,0,28
7,3,30
7,9,28
8,0,70
8,1,42
8,2,39
8,3,34
8,4,89
8,5,89
8,6,34
8,7,89
8,9,39
8,10,70
9,0,95
9,1,0
9,2,76
9,3,19
9,4,78
9,5,78
9,6,95
9,7,76
9,8,42
9,9,78
9,10,41
9,11,78
10,0,30
10,1,30
11,0,62
11,6,62
11,10,62
12,6,41
12,7,45
12,10,41
12,11,41
13,1,75
13,2,75
13,3,64
13,4,56
13,5,56
13,6,75
13,7,56
13,8,19
13,9,19
13,10,64
13,11,64
14,0,16
14,1,85
14,2,85
14,3,59
14,4,59
14,5,67
14,6,67
14,7,8
14,10,8
14,11,8
15,0,87
15,1,0
15,2,87
15,3,87
15,6,0
15,10,10
15,11,0
16,0,31
16,2,31
16,3,47
16,4,31
16,5,31
16,6,31
16,10,47
16,11,31
17,2,88
18,0,72
18,1,66
18,6,72
18,7,66
18,11,72
19,2,52
19,10,52
20,1,17
20,2,93
20,3,74
20,4,44
20,5,74
20,6,17
20,8,44
20,10,17
21,1,44
21,2,29
21,3,39
21,4,77
21,5,77
22,0,38
22,1,40
22,2,48
22,3,18
22,4,61
22,5,18
22,6,48
22,7,48
22,8,18
22,9,48
22,10,38
22,11,37
23,0,7
23,1,84
23,2,84
23,6,7
23,7,86
23,8,86
23,9,84
23,10,34
23,11,22
24,1,1
24,2,1
24,4,13
24,5,13
24,11,1
25,0,68
25,10,28
26,0,54
26,2,41
26,3,14
26,4,14
26,5,54
26,10,14
26,11,41
27,0,69
27,2,49
27,3,49
27,6,94
27,7,24
27,8,94
27,9,69
27,10,49
27,11,49
28,2,78
28,6,15
28,7,15
29,5,58
29,6,57
29,8,3
29,9,80
30,0,0
30,2,99
30,3,99
30,6,29
30,7,95
30,8,95
30,9,98
30,10,99
31,0,29
31,10,29
31,11,29
32,4,66
32,5,13
33,0,35
33,1,36
33,2,25
33,4,32
33,5,32
33,6,17
33,7,81
33,8,36
33,9,32
33,10,25
33,11,32
34,0,23
34,1,28
35,1,50
35,6,24
35,10,20
36,0,71
36,2,90
36,3,91
36,4,91
36,6,27
36,7,91
36,10,63
37,0,20
37,1,20
37,2,20
37,6,20
37,7,20
38,0,92
38,2,2
38,3,92
38,6,2
38,7,2
38,8,92
38,9,2
38,10,2
38,11,2
39,2,50
39,3,65
39,8,12
39,9,65
39,10,12
39,11,12
40,0,38
40,1,60
41,9,96
42,1,46
42,6,43
42,7,43
42,10,46
43,1,5
43,4,5
43,5,36
43,10,5
43,11,5
44,1,83
44,2,83
44,3,21
45,0,3
45,1,3
46,0,26
46,1,26
46,2,26
46,3,97
46,4,97
46,5,97
46,6,54
46,7,26
46,8,70
46,9,53
46,10,26
46,11,26
47,0,9
47,1,9
47,2,22
47,8,9
47,9,9
47,10,9
47,11,33
48,0,33
48,2,28
48,8,6
48,9,23
48,10,33
48,11,23
49,0,30
49,1,23
49,2,27
49,3,23
